time,asset2_depthofdischarge
2470,0.008255
2471,0.00835
2477,0.008425
2491,0.0085
2500,0.008595
2501,0.00869
2507,0.008765
2521,0.00884
2530,0.008935
2531,0.00903
2537,0.009105
2551,0.00918
2560,0.009275
2561,0.00937
2567,0.009445
2581,0.00952
2590,0.009615
2591,0.00971
2597,0.009785
2611,0.00986
2620,0.009955
2621,0.01005
2627,0.010125
2641,0.0102
2650,0.010295
2651,0.01039
2657,0.010465
2671,0.01054
2680,0.010635
2681,0.01073
2687,0.010805
2701,0.01088
2710,0.010975
2711,0.01107
2717,0.011145
2731,0.01122
2740,0.011315
2741,0.01141
2747,0.011485
2761,0.01156
2770,0.011655
2771,0.01175
2777,0.011825
2791,0.0119
2800,0.011995
2801,0.01209
2807,0.012165
2821,0.01224
2830,0.012335
2831,0.01243
2837,0.012505
2851,0.01258
2860,0.012675
2861,0.01277
2867,0.012845
2881,0.01292
2890,0.013015
2891,0.01311
2897,0.013185
2911,0.01326
2920,0.013355
2921,0.01345
2927,0.013525
2941,0.0136
2950,0.013695
2951,0.01379
2957,0.013865
2971,0.01394
2980,0.014035
2981,0.01413
2987,0.014205
3001,0.01428
3010,0.014375
3011,0.01447
3017,0.014545
3031,0.01462
3040,0.014715
3041,0.01481
3047,0.014885
3061,0.01496
3070,0.015055
3071,0.01515
3077,0.015225
3091,0.0153
3100,0.015395
3101,0.01549
3107,0.015565
3121,0.01564
3130,0.015735
3131,0.01583
3137,0.015905
3151,0.01598
3160,0.016075
3161,0.01617
3167,0.016245
3181,0.01632
3190,0.016415
3191,0.01651
3197,0.016585
3211,0.01666
3220,0.016755
3221,0.01685
3227,0.016925
3241,0.017
3250,0.017095
3251,0.01719
3257,0.017265
3271,0.01734
3280,0.017435
3281,0.01753
3287,0.017605
3301,0.01768
3310,0.017775
3311,0.01787
3317,0.017945
3331,0.01802
3340,0.018115
3341,0.01821
3345,0.018285
3361,0.01836
3370,0.018455
3371,0.01855
3377,0.018625
3391,0.0187
3400,0.018795
3401,0.01889
3407,0.018965
3421,0.01904
3430,0.019135
3431,0.01923
3451,0.019155
3460,0.0191
3461,0.019045
3465,0.01897
3481,0.018895
3490,0.01884
3491,0.018785
3495,0.01871
3511,0.018635
3520,0.01858
3521,0.018525
3523,0.01845
3541,0.018375
3550,0.01832
3551,0.018265
3553,0.01819
4021,0.018115
4030,0.0186416666666667
4031,0.0191683333333334
4090,0.0190933333333334
4111,0.0190183333333334
4120,0.0189633333333334
4121,0.0189083333333334
4127,0.0188333333333334
4141,0.0187583333333334
4150,0.0187033333333334
4151,0.0186483333333334
4157,0.0185733333333334
4171,0.0184983333333334
4180,0.0184433333333334
4181,0.0183883333333334
4187,0.0183133333333334
4201,0.0182383333333334
4210,0.0181833333333334
4211,0.0181283333333334
4217,0.0180533333333334
4231,0.0179783333333334
4240,0.0179233333333334
4241,0.0178683333333334
4247,0.0177933333333334
4261,0.0177183333333334
4270,0.0176633333333334
4271,0.0176083333333334
4277,0.0175333333333334
4291,0.0174583333333334
4300,0.0174033333333334
4301,0.0173483333333334
4307,0.0172733333333334
4321,0.0171983333333334
4330,0.0171433333333334
4331,0.0170883333333334
4335,0.0170133333333334
4351,0.0169383333333334
4360,0.0168833333333334
4361,0.0168283333333334
4367,0.0167533333333334
4381,0.0166783333333334
4390,0.0166233333333334
4391,0.0165683333333334
4397,0.0164933333333334
4411,0.0164183333333334
4420,0.0163633333333334
4421,0.0163083333333334
4425,0.0162333333333334
4441,0.0161583333333334
4450,0.0161033333333334
4451,0.0160483333333334
4455,0.0159733333333334
4471,0.0158983333333334
4480,0.0158433333333334
4481,0.0157883333333334
4487,0.0157133333333334
4501,0.0156383333333334
4510,0.0155833333333334
4511,0.0155283333333334
4515,0.0154533333333334
4531,0.0153783333333334
4540,0.0153233333333334
4541,0.0152683333333334
4545,0.0151933333333334
4561,0.0151183333333334
4570,0.0150633333333334
4571,0.0150083333333334
4575,0.0149333333333334
4591,0.0148583333333334
4600,0.0148033333333334
4601,0.0147483333333334
4607,0.0146733333333334
4621,0.0145983333333334
4630,0.0145433333333334
4631,0.0144883333333334
4637,0.0144133333333334
4651,0.0143383333333334
4660,0.0142833333333334
4661,0.0142283333333334
4667,0.0141533333333334
4681,0.0140783333333334
4690,0.0140233333333334
4691,0.0139683333333334
4697,0.0138933333333334
4711,0.0138183333333334
4720,0.0137633333333334
4721,0.0137083333333334
4727,0.0136333333333334
4741,0.0135583333333334
4750,0.0135033333333334
4751,0.0134483333333334
4757,0.0133733333333334
4771,0.0132983333333334
4780,0.0132433333333334
4781,0.0131883333333334
4787,0.0131133333333334
4801,0.0130383333333334
4810,0.0129833333333334
4811,0.0129283333333334
4817,0.0128533333333334
4831,0.0127783333333334
4840,0.0127233333333334
4841,0.0126683333333334
4847,0.0125933333333334
4861,0.0125183333333334
4870,0.0124633333333334
4871,0.0124083333333334
4877,0.0123333333333334
4891,0.0122583333333334
4900,0.0122033333333334
4901,0.0121483333333334
4907,0.0120733333333334
4921,0.0119983333333334
4930,0.0119433333333334
4931,0.0118883333333334
4937,0.0118133333333334
4951,0.0117383333333334
4960,0.0116833333333334
4961,0.0116283333333334
4967,0.0115533333333334
4981,0.0114783333333334
4990,0.0114233333333334
4991,0.0113683333333334
4997,0.0112933333333334
5011,0.0112183333333334
5020,0.0111633333333334
5021,0.0111083333333334
5027,0.0110333333333334
5041,0.0109583333333334
5050,0.0109033333333334
5051,0.0108483333333334
5057,0.0107733333333334
5071,0.0106983333333334
5080,0.0106433333333334
5081,0.0105883333333334
5087,0.0105133333333334
5101,0.0104383333333334
5110,0.0103833333333334
5111,0.0103283333333334
5117,0.0102533333333334
5131,0.0101783333333334
5140,0.0101233333333334
5141,0.0100683333333334
5147,0.00999333333333341
5161,0.00991833333333341
5170,0.00986333333333341
5171,0.00980833333333341
5177,0.00973333333333341
5191,0.00965833333333341
5200,0.00960333333333341
5201,0.00954833333333341
5207,0.00947333333333341
5221,0.00939833333333341
5230,0.00934333333333341
5231,0.00928833333333341
5237,0.00921333333333341
5251,0.00913833333333341
5260,0.00908333333333341
5261,0.00902833333333341
5267,0.00895333333333341
5281,0.00887833333333341
5290,0.00882333333333341
5291,0.00876833333333341
5297,0.00869333333333341
5311,0.00861833333333341
5320,0.00856333333333341
5321,0.00850833333333341
5327,0.00843333333333341
5341,0.00835833333333341
5350,0.00830333333333341
5351,0.00824833333333341
5357,0.00817333333333341
5371,0.00809833333333341
5380,0.00804333333333341
5381,0.00798833333333341
5387,0.00791333333333341
5401,0.00783833333333341
5410,0.00778333333333341
5411,0.00772833333333341
5417,0.00765333333333341
